jp_philosopher,jp_work,jp_chars,sep_slug,sep_chars,similarity,rank
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,universals-medieval,122355,0.8554,2
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,spinoza,91786,0.8527,3
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,existentialism,91940,0.8503,4
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,consciousness-17th,89011,0.849,5
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,consciousness,153246,0.8439,6
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,rationalism-empiricism,75153,0.841,7
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,perception-episprob,123615,0.841,8
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,self-consciousness-phenomenological,78191,0.8353,9
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,antonio-rosmini,57060,0.8342,10
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,dualism,131959,0.8342,11
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,authenticity,81400,0.8329,12
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,idealism,328859,0.8287,13
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,johann-herbart,145051,0.8265,14
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,broad,78488,0.8235,15
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,understanding,100196,0.8234,16
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,buddhism-tiantai,156231,0.8234,17
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,qualia,85298,0.8234,18
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,intentionality,107604,0.8228,19
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,self-knowledge,91103,0.8215,20
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,personhood-india,72984,0.8203,21
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,reid,181211,0.8193,22
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,nagarjuna,90278,0.8191,23
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,consciousness-higher,124809,0.8184,24
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,olivi,102678,0.8168,25
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,self-consciousness,161516,0.8159,26
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,marcel,80460,0.8149,27
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,mind-identity,54546,0.8149,28
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,other-minds,110484,0.8125,29
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,shankara,89230,0.8106,30
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,kant,148977,0.8104,31
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,perception-problem,117930,0.8102,32
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,pantheism,67688,0.8102,33
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,providence-divine,117966,0.8094,34
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,intuitionism-ethics,78046,0.8087,35
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,dilthey,85569,0.8083,36
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,intentionality-ancient,63090,0.8079,37
Nishida Kitarō / 西田幾多郎,"善の研究 (An Inquiry into the Good, 1911)",124635,descartes-epistemology,200888,0.805,38
